id,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
232,Indigo,6E-992,Hyderabad,Evening,one,Late_Night,Mumbai,Economy,5.08,43,4138
233,Air_India,AI-673,Mumbai,Early_Morning,one,Night,Delhi,Business,13.0,12,40435
234,Indigo,6E-967,Delhi,Evening,zero,Evening,Hyderabad,Economy,2.33,47,3013
235,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,48,6296
236,Air_India,AI-868,Delhi,Evening,one,Morning,Bangalore,Business,17.17,5,42457
237,Vistara,UK-996,Mumbai,Evening,one,Morning,Bangalore,Business,16.33,41,85744
238,Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.5,22,5892
239,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,11.67,33,69997
240,Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,7.42,23,4111
241,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,48,4673
242,Vistara,UK-802,Bangalore,Evening,zero,Night,Delhi,Economy,2.75,13,7489
243,Vistara,UK-737,Delhi,Afternoon,zero,Evening,Kolkata,Economy,2.17,33,4000
244,Vistara,UK-893,Bangalore,Evening,one,Morning,Delhi,Economy,13.08,22,3496
245,GO_FIRST,G8-327,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.17,11,5942
246,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.92,18,72125
247,Vistara,UK-897,Bangalore,Early_Morning,two_or_more,Evening,Kolkata,Economy,11.67,33,7106
248,GO_FIRST,G8-317,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,11.92,29,5415
249,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,Business,14.75,40,45883
250,Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,Business,15.25,22,56702
251,Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Business,10.92,13,39499
252,GO_FIRST,G8-790,Bangalore,Afternoon,one,Night,Hyderabad,Economy,8.17,19,4801
253,Indigo,6E-591,Chennai,Morning,one,Night,Delhi,Economy,10.58,48,3361
254,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Business,13.42,48,56702
255,GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,43,2410
256,GO_FIRST,G8-118,Bangalore,Night,one,Early_Morning,Mumbai,Economy,6.33,33,6389
257,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Business,27.17,35,59033
258,Vistara,UK-863,Mumbai,Morning,two_or_more,Night,Chennai,Economy,11.17,34,8130
259,Vistara,UK-986,Mumbai,Night,one,Morning,Kolkata,Economy,9.83,10,9879
260,Vistara,UK-820,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,18.75,3,11205
261,Air_India,AI-698,Hyderabad,Night,one,Morning,Bangalore,Business,12.92,26,38043
262,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Business,20.0,13,39499
263,Air_India,AI-433,Delhi,Afternoon,one,Afternoon,Mumbai,Business,27.5,49,44025
264,Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,21.08,40,58315
265,Vistara,UK-613,Mumbai,Afternoon,one,Afternoon,Delhi,Business,26.17,8,54429
266,Indigo,6E-7223,Bangalore,Afternoon,one,Late_Night,Delhi,Economy,10.33,14,15311
267,Vistara,UK-864,Bangalore,Evening,one,Early_Morning,Hyderabad,Business,12.83,23,37985
268,AirAsia,I5-620,Mumbai,Early_Morning,one,Evening,Delhi,Economy,13.42,35,5939
269,GO_FIRST,G8-7560,Kolkata,Afternoon,zero,Evening,Bangalore,Economy,2.67,14,6488
270,Indigo,6E-6567,Chennai,Afternoon,zero,Evening,Delhi,Economy,2.75,27,3191
271,Air_India,AI-616,Hyderabad,Morning,one,Evening,Delhi,Economy,9.83,21,4387
272,SpiceJet,SG-251,Mumbai,Evening,one,Night,Kolkata,Economy,25.67,33,5253
273,Indigo,6E-7062,Hyderabad,Early_Morning,one,Morning,Chennai,Economy,5.0,37,4440
274,Air_India,AI-539,Chennai,Evening,one,Late_Night,Bangalore,Business,7.17,34,60260
275,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,Economy,13.42,7,12033
276,Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,Economy,14.25,3,14264
277,Vistara,UK-846,Bangalore,Morning,one,Night,Hyderabad,Economy,12.42,27,5322
278,Air_India,AI-687,Mumbai,Afternoon,one,Late_Night,Bangalore,Business,8.17,39,54608
279,Air_India,AI-635,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,17.08,26,6502
280,Indigo,6E-6749,Kolkata,Morning,one,Evening,Delhi,Economy,7.67,8,12348
281,Air_India,AI-698,Hyderabad,Night,zero,Night,Mumbai,Economy,1.67,40,2301
282,Indigo,6E-626,Hyderabad,Afternoon,one,Evening,Chennai,Economy,4.33,6,4453
283,Vistara,UK-866,Bangalore,Night,one,Early_Morning,Hyderabad,Business,10.17,30,37985
284,Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,11.33,33,45693
285,Air_India,AI-767,Delhi,Afternoon,one,Night,Hyderabad,Economy,9.08,40,4415
286,Air_India,AI-640,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,5.5,40,4294
287,GO_FIRST,G8-7559,Bangalore,Afternoon,one,Early_Morning,Mumbai,Economy,16.25,17,7317
288,Indigo,6E-269,Hyderabad,Morning,one,Night,Delhi,Economy,9.75,38,5846
289,Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,22.92,5,11675
