address,district,rooms,size,level,max_levels,price,lat,lng
"город Ташкент, Uchtepa район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Uchtepa,3,96,3,4,65000,41.2902787,69.1839655
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,76,4,4,47500,41.2770171,69.1909015
"город Ташкент, Uchtepa район, Чиланзар 13-й квартал",Uchtepa,2,45,4,5,30000,41.290141,69.1871763
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,1,27,3,4,32000,41.2916859,69.2177228
"город Ташкент, Uchtepa район, Чиланзар 30-й квартал",Uchtepa,2,65,3,9,44000,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,64,3,4,56500,41.2807837,69.223683
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,42,5,9,35000,41.2948119,69.2087824
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,26,2,4,23500,41.2948119,69.2087824
"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",Uchtepa,4,76,5,5,60500,41.2771751,69.1789807
"город Ташкент, Chilonzor район, Чиланзар квартал 20Д",Chilonzor,3,80,2,4,68000,41.2657122,69.1819609
"город Ташкент, Chilonzor район, 1-й проезд Лутфи",Chilonzor,3,72,5,5,41500,41.2985011,69.2029128
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,100,3,12,55000,41.2978921,69.1804708
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,3,65,4,4,44000,41.2770171,69.1909015
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,80,3,4,52500,41.2770171,69.1909015
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,72,6,9,43000,41.2978921,69.1804708
"город Ташкент, Mirobod район, Тараса Шевченко",Mirobod,2,65,1,4,80000,41.2991561,69.2785087
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,63,1,5,42000,41.2673079,69.2415634
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,48,5,9,23000,41.2673079,69.2415634
"город Ташкент, Yunusobod район, Юнусабад 18-й квартал",Yunusobod,3,70,3,4,47000,41.3707855,69.3190425
"город Ташкент, Yakkasaroy район, Бабура",Yakkasaroy,3,102,7,12,88784,41.2818558,69.2552666
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,4,78,2,4,65000,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Чиланзар квартал И",Chilonzor,4,100,1,4,97000,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,1,34,1,4,28500,41.2710841,69.1849411
"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",Chilonzor,2,42,2,4,34500,41.2829494,69.1968618
"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",Uchtepa,4,80,4,5,51000,41.2953086,69.182706
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,90,1,12,51000,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,45,2,4,48000,41.2807837,69.223683
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,70,5,5,40000,41.260048,69.162198
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,96,7,9,67000,41.2798237,69.2058023
"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",Uchtepa,4,80,4,5,68000,41.2797359,69.1670599
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,2,63,1,4,40500,41.2814223,69.1760005
"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",Uchtepa,2,56,4,5,54000,41.2867929,69.1789807
"город Ташкент, Uchtepa район, Чиланзар 22-й квартал",Uchtepa,2,52,1,4,36000,41.2879715,69.1692951
"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",Uchtepa,3,98,2,4,68000,41.281265,69.1879213
"город Ташкент, Chilonzor район, Бешёгоч",Chilonzor,3,96,9,9,63000,41.3068527,69.2534409
"город Ташкент, Shayhontohur район, Актепа",Shayhontohur,4,93,4,4,63500,41.3275402,69.2102725
"город Ташкент, Shayhontohur район, Международный деловой центр Tashkent City",Shayhontohur,2,60,9,9,49500,41.3365221,69.2824454
"город Ташкент, Chilonzor район, Chilonzor район массив Аль-Хорезми-2",Chilonzor,5,82,4,4,70000,41.260048,69.162198
"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",Uchtepa,5,120,9,9,52000,41.2867929,69.1789807
"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",Uchtepa,4,110,3,3,91000,41.2953086,69.182706
"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",Chilonzor,4,95,2,4,83000,41.2847707,69.2288981
"город Ташкент, Uchtepa район, 4-й проезд Курувчи",Uchtepa,2,56,1,4,40500,41.265874,69.223683
"город Ташкент, Chilonzor район, Мукими",Chilonzor,3,68,3,4,48000,41.2885649,69.2290098
"город Ташкент, Olmzor район, Себзар",Olmzor,2,57,3,4,42000,41.3333453,69.2475235
"город Ташкент, Yashnobod район, Жаркургон",Yashnobod,1,46,11,11,19765,41.286283,69.3235123
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,45,4,4,34500,41.2807837,69.223683
"город Ташкент, Yunusobod район, Юнусабад 10-й квартал",Yunusobod,2,40,1,9,40000,41.3804352,69.2840285
"город Ташкент, Mirzo Ulugbek район, Хумаюн",Mirzo Ulugbek,3,95,5,5,50000,41.3427418,69.3875774
"город Ташкент, Yunusobod район, Кашгар",Yunusobod,2,53,1,9,68000,41.3197131,69.2773236
"город Ташкент, Olmzor район, Карасарайская",Olmzor,2,72,4,9,41500,41.3376966,69.243806
"город Ташкент, Mirzo Ulugbek район, Буз-1 (Буз базар) ",Mirzo Ulugbek,3,65,4,5,41500,41.3215876,69.3230626
"город Ташкент, Yunusobod район, ц-4 Кашгар (Ц-4) ",Yunusobod,4,82,1,4,86000,41.3197131,69.2773236
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42,3,9,25500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,54,4,4,31500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42,1,4,26500,41.259418,69.1804708
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,1,20,3,9,14500,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,2,45,4,4,45000,41.2857552,69.2117625
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,46,2,5,30000,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,50,2,4,34500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,36,2,4,27000,41.259418,69.1804708
"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",Uchtepa,4,80,6,9,59500,41.281265,69.1879213
"город Ташкент, Uchtepa район, Кизил Шарк",Uchtepa,3,72,3,9,48000,41.3239274,69.2143264
"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",Uchtepa,4,78,5,5,47299,41.2797359,69.1670599
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,2,46,4,5,37000,41.260048,69.162198
"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,2,60,2,4,38000,41.2894422,69.2058023
"город Ташкент, Olmzor район, 15-й проезд Сагбан",Olmzor,2,58,5,9,29500,41.3638683,69.2187028
"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",Chilonzor,2,70,2,7,56000,41.2829494,69.1968618
"город Ташкент, Yakkasaroy район, 1-й проезд Мукими",Yakkasaroy,2,68,6,9,45000,41.2788969,69.2489174
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,100,3,5,61500,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Мукими",Chilonzor,3,68,5,5,46500,41.2885649,69.2290098
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,70,4,12,51000,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,90,5,9,58400,41.260048,69.162198
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,3,60,5,5,47000,41.260048,69.162198
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,80,5,5,52500,41.2978921,69.1804708
"город Ташкент, Uchtepa район, Гулистон",Uchtepa,3,74,3,5,50000,41.2978921,69.1804708
"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",Chilonzor,2,48,2,5,41500,41.2847707,69.2288981
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,4,94,9,9,45000,41.260048,69.162198
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,3,65,4,9,47500,41.2814223,69.1760005
"город Ташкент, Chilonzor район, Наккашлык",Chilonzor,4,85,3,4,52500,41.259418,69.1804708
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,1,42,5,5,26000,41.2814223,69.1760005
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,110,3,4,105000,41.2798237,69.2058023
"город Ташкент, Uchtepa район, Чиланзар квартал Г9А",Uchtepa,3,70,4,4,42000,41.2729489,69.1916465
"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",Chilonzor,3,68,2,5,53500,41.2894422,69.2058023
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,48,5,9,23000,41.2673079,69.2415634
"город Ташкент, Yashnobod район, Ташсельмаш",Yashnobod,1,20,3,3,12500,41.3080076,69.3078679
"город Ташкент, Mirobod район, Тараса Шевченко",Mirobod,3,110,4,7,107000,41.2991561,69.2785087
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,2,46,3,4,35000,41.2710841,69.1849411
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,4,125,5,5,70000,41.2798237,69.2058023
"город Ташкент, Mirzo Ulugbek район, площадь Хамида Алимджана",Mirzo Ulugbek,2,72,18,19,55000,41.3180348,69.2942247
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,64.67,7,9,39414,41.3292204,69.3473509
"город Ташкент, Yunusobod район, Чинабад",Yunusobod,2,70,4,9,60000,41.4153867,69.4292923
"город Ташкент, Yunusobod район, Киёт",Yunusobod,1,50,7,9,37000,41.3245206,69.2773236
"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",Mirzo Ulugbek,2,51,2,4,49000,41.319567,69.3246635
"город Ташкент, Mirzo Ulugbek район, Феруза",Mirzo Ulugbek,1,22,1,2,18000,41.3576548,69.3675816
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,2,54,1,4,42500,41.2916859,69.2177228
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,1,30,3,5,34500,41.2916859,69.2177228
"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",Chilonzor,1,42,5,9,37000,41.2710841,69.1849411
"город Ташкент, Yakkasaroy район, Тафаккур",Yakkasaroy,3,70,2,4,70000,41.296195,69.262388
"город Ташкент, Shayhontohur район, Самарканд Дарвоза",Shayhontohur,3,68,2,4,45800,41.3162377,69.2312263
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,30,4,4,24000,41.2948119,69.2087824
"город Ташкент, Uchtepa район, Чиланзар 14-й квартал",Uchtepa,1,52,1,4,58000,41.2962523,69.1909015
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,4,72,4,4,55500,41.274633,69.200587
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,4,76,2,4,68000,41.274633,69.200587
"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",Uchtepa,2,48,4,4,31000,41.2814223,69.1760005
"город Ташкент, Chilonzor район, Аль-Хорезми-2",Chilonzor,2,66,3,9,47000,41.260048,69.162198
"город Ташкент, Chilonzor район, Чиланзар квартал Ц",Chilonzor,3,60,3,5,47000,41.2798237,69.2058023
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,2,37,1,4,41000,41.2857552,69.2117625
"город Ташкент, Mirzo Ulugbek район, Муминова",Mirzo Ulugbek,1,40,3,4,24000,41.3392308,69.3389519
"город Ташкент, Yunusobod район, Юнусабад 11-й квартал",Yunusobod,2,61,1,4,55000,41.3700057,69.2892434
"город Ташкент, Chilonzor район, Чиланзар 4-й квартал",Chilonzor,1,32,2,4,28500,41.2837307,69.2169777
"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",Chilonzor,3,65,4,4,42000,41.274633,69.200587
"город Ташкент, Uchtepa район, Чупон-Ота",Uchtepa,3,66,2,5,67000,41.2902787,69.1839655
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,3,70,4,4,46500,41.2916859,69.2177228
"город Ташкент, Chilonzor район, Катта козиробод",Chilonzor,3,66,4,4,50500,41.2773103,69.2152083
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,3,65,1,4,40000,41.2770171,69.1909015
"город Ташкент, Yashnobod район, 1-й проезд Иззат",Yashnobod,1,37,5,8,13071,41.2785565,69.3415733
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,69.65,4,9,45188,41.3292204,69.3473509
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,88,4,5,53000,41.2770171,69.1909015
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,1,38,2,5,25600,41.2673079,69.2415634
"город Ташкент, Mirobod район, Госпитальный",Mirobod,2,61,6,9,52000,41.295316,69.275364
"город Ташкент, Mirzo Ulugbek район, Навнихол",Mirzo Ulugbek,2,45,3,7,44000,41.3462538,69.3323894
"город Ташкент, Sergeli район, Сергели-VII",Sergeli,3,69,2,9,40000,41.2202309,69.2251673
"город Ташкент, Mirzo Ulugbek район, Алтынтепа",Mirzo Ulugbek,2,55.13,5,9,35226,41.3292204,69.3473509
"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",Chilonzor,3,67,4,4,54000,41.2894422,69.2058023
"город Ташкент, Shayhontohur район, 1-й проезд Генерала Узакова",Shayhontohur,1,38,5,5,22500,41.3268984,69.1952565
"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",Mirzo Ulugbek,2,67,2,4,36500,41.3375577,69.3726789
"город Ташкент, Yakkasaroy район, пр-т Бабура",Yakkasaroy,2,54,4,9,40000,41.2892951,69.2582738
"город Ташкент, Chilonzor район, Чиланзар квартал 20А",Chilonzor,2,58,1,9,35000,41.259418,69.1804708
"город Ташкент, Mirobod район, Фидокор (Чехова) ",Mirobod,4,100,5,8,142000,41.296644,69.275878
"город Ташкент, Chilonzor район, Мукими",Chilonzor,4,90,4,5,52000,41.2885649,69.2290098
"город Ташкент, Olmzor район, ул  ХУРРИЯТ 75",Olmzor,3,91,3,3,85000,41.3645355,69.2281531
"город Ташкент, Shayhontohur район, 1-й проезд Лабзак",Shayhontohur,4,111,7,8,110000,41.327974,69.2611824
"город Ташкент, Sergeli район, Сергели 6 А дом 9 кв 53",Sergeli,2,54,6,7,36000,41.2304214,69.2117625
"город Ташкент, Yashnobod район, жилой комплекс У.М. Шахидов 58-й городок",Yashnobod,3,69,5,5,52000,41.2994958,69.2400734
"город Ташкент, Yunusobod район, Юнусабад 14-й квартал",Yunusobod,5,107,5,5,50000,41.3709551,69.307123
"город Ташкент, Mirzo Ulugbek район, Массив А. Югнакий",Mirzo Ulugbek,3,80,2,5,55000,41.3539037,69.3851063
"город Ташкент, Yunusobod район, Юнусабад 4 квартал",Yunusobod,2,63,5,9,42000,41.3653679,69.2773236
"город Ташкент, Mirobod район, Жемчуг",Mirobod,3,74,5,16,69000,41.3021647,69.2687
"город Ташкент, Yashnobod район, 40 лет тузел-3 Франция",Yashnobod,2,58,5,5,28900,41.294821,69.3659745
"город Ташкент, Mirzo Ulugbek район, Паркентский",Mirzo Ulugbek,2,62,9,9,34000,41.3146381,69.3228615
"город Ташкент, Mirzo Ulugbek район, жилой комплекс Goldhill",Mirzo Ulugbek,3,107,2,8,85000,41.3466485,69.3328133
"город Ташкент, Olmzor район, ТашПИ",Olmzor,1,40.41,2,4,25000,41.3488728,69.1689332
"город Ташкент, Chilonzor район, Мирзо Улуғбек метро",Chilonzor,2,54,2,4,39000,41.2828581,69.2125566
"город Ташкент, Mirzo Ulugbek район, ц-1 Буюк ипак йули (Ц-1) ",Mirzo Ulugbek,1,40,1,4,60000,41.3104865,69.2922234
"город Ташкент, Mirzo Ulugbek район, Дурмон йули",Mirzo Ulugbek,2,50,1,5,36500,41.3357758,69.34359
"город Ташкент, Yashnobod район, Мавлоно Риёзи",Yashnobod,3,75,5,9,42000,41.3123276,69.3159192
"город Ташкент, Mirzo Ulugbek район, Паркент",Mirzo Ulugbek,3,84,7,8,85000,41.3133669,69.3235746
"город Ташкент, Mirzo Ulugbek район, Ирригатор",Mirzo Ulugbek,3,117,2,5,125000,41.3203273,69.2993794
"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",Mirzo Ulugbek,3,70,5,5,37000,41.319567,69.3246635
"город Ташкент, Mirzo Ulugbek район, проспект Мустакиллик",Mirzo Ulugbek,1,47,2,9,42000,41.3209122,69.303727
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,2,56,2,5,36000,41.271386,69.1961168
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,42,3,9,28000,41.274633,69.200587
"город Ташкент, Chilonzor район",Chilonzor,2,60,5,9,34000,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-6",Chilonzor,1,32,2,5,28500,41.2857552,69.2117625
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42,2,5,28500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,60,2,9,34500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,54,1,4,34500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-9",Chilonzor,1,42,1,5,25500,41.2901628,69.1968618
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,2,60,2,9,43500,41.259418,69.1804708
"город Ташкент, Mirobod район, Афросиаб (пр-т Косманавтов) ",Mirobod,2,72,7,9,63000,41.3051824,69.2638823
"город Ташкент, Yashnobod район, Городок Авиастроителей-4",Yashnobod,3,80,1,4,39999,41.2922516,69.3419071
"город Ташкент, Chilonzor район, Кошчинар",Chilonzor,1,33,2,4,24500,41.2780874,69.2060703
"город Ташкент, Yunusobod район, Улица Янги Юнусобод",Yunusobod,2,61,3,5,41000,41.3693331,69.3101022
"город Ташкент, Mirzo Ulugbek район, Буюк Ипак Йули",Mirzo Ulugbek,4,187,2,5,210000,41.3104865,69.2922234
"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",Mirzo Ulugbek,2,63,5,5,36000,41.3375577,69.3726789
"город Ташкент, Olmzor район, Себзар",Olmzor,2,60,5,5,34000,41.3333453,69.2475235
"город Ташкент, Chilonzor район, Торговый центр",Chilonzor,1,29,2,4,23000,41.2830467,69.2222748
"город Ташкент, Mirzo Ulugbek район, Карасу 2-й квартал",Mirzo Ulugbek,2,63,5,5,36000,41.3318205,69.3644846
"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",Uchtepa,2,48,4,5,28500,41.2771751,69.1789807
"город Ташкент, Chilonzor район, Корзинка",Chilonzor,2,45,4,4,47000,41.262123,69.1647666
"город Ташкент, Olmzor район, обводная  Нурафшон",Olmzor,4,122,5,5,95000,41.3390184,69.2261213
"город Ташкент, Yunusobod район, Киёт",Yunusobod,1,42,2,4,44000,41.3245206,69.2773236
"город Ташкент, Mirzo Ulugbek район, Шастри",Mirzo Ulugbek,2,50,1,4,45000,41.3137673,69.2910424
"город Ташкент, Mirzo Ulugbek район, Феруза-1",Mirzo Ulugbek,5,100,4,4,48000,41.3550649,69.3585936
"город Ташкент, Mirzo Ulugbek район, Буюк Ипак йули (Луначарское) ",Mirzo Ulugbek,2,60,4,4,32000,41.314662,69.293391
"город Ташкент, Yakkasaroy район, Шота Руставели",Yakkasaroy,2,50,2,4,47000,41.2911414,69.2601933
"город Ташкент, Mirzo Ulugbek район, Дархан",Mirzo Ulugbek,3,78,5,9,70500,41.3200874,69.3013967
"город Ташкент, Yakkasaroy район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Yakkasaroy,4,164,5,6,170000,41.2765672,69.2460335
"город Ташкент, Mirzo Ulugbek район, Хумаюн",Mirzo Ulugbek,2,60,3,5,30500,41.3427418,69.3875774
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,42,2,4,26000,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-6",Chilonzor,3,70,4,4,37500,41.2857552,69.2117625
"город Ташкент, Chilonzor район, Метро Мирзо Улугбек",Chilonzor,1,35,1,5,26500,41.2829101,69.2116463
"город Ташкент, Chilonzor район, Чиланзар-7",Chilonzor,2,47,2,4,32000,41.2948119,69.2087824
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,1,36,2,5,26500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-10",Chilonzor,2,50,2,5,34500,41.2829494,69.1968618
"город Ташкент, Chilonzor район, Чиланзар-6",Chilonzor,2,52,2,4,36500,41.2857552,69.2117625
"город Ташкент, Yashnobod район, Оханграбо",Yashnobod,2,46,2,4,24500,41.2535107,69.3437258
"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,3,92,3,9,42500,41.2894422,69.2058023
"город Ташкент, Chilonzor район, Чиланзар",Chilonzor,3,70,1,4,46000,41.259418,69.1804708
"город Ташкент, Yunusobod район, Юнусабад 13-й квартал",Yunusobod,3,70,2,4,38500,41.3692799,69.2981832
"город Ташкент, Mirzo Ulugbek район, Паркентская (Генерала Петрова) ",Mirzo Ulugbek,2,60,7,8,36000,41.31512,69.3234929
"город Ташкент, Mirzo Ulugbek район, Буз 2",Mirzo Ulugbek,2,55,3,5,35000,41.319567,69.3246635
"город Ташкент, Mirzo Ulugbek район, Паркентская (Генерала Петрова) ",Mirzo Ulugbek,2,63,4,9,55500,41.31512,69.3234929
"город Ташкент, Yakkasaroy район, Бабура",Yakkasaroy,2,89,4,12,81772,41.2818558,69.2552666
"город Ташкент, Yakkasaroy район, Бабура",Yakkasaroy,1,55,1,12,50533,41.2818558,69.2552666
"город Ташкент, Mirzo Ulugbek район, Ул.Кора Ниязова",Mirzo Ulugbek,3,100,2,6,119000,41.3292204,69.3473509
"город Ташкент, Mirzo Ulugbek район, Ахмад Югнаки",Mirzo Ulugbek,4,208,2,3,93000,41.3475495,69.3875774
"город Ташкент, Chilonzor район, Uchtepa район массив Чиланзар 11-й квартал",Chilonzor,1,35,1,4,23800,41.2770171,69.1909015
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,2,44,3,4,32900,41.2948119,69.2087824
"город Ташкент, Yangihayot район, Сергели 9а",Yangihayot,2,61,3,7,36000,41.210633,69.2281531
"город Ташкент, Yashnobod район, Массив Риёзи",Yashnobod,4,100,2,9,65000,41.286283,69.3235123
"город Ташкент, Chilonzor район, Чиланзар 8 квартал",Chilonzor,1,35,1,4,29800,41.2894422,69.2058023
"город Ташкент, Mirzo Ulugbek район, Газалкент",Mirzo Ulugbek,4,86,3,5,63000,41.3351692,69.3602729
"город Ташкент, Mirzo Ulugbek район, Буюк Ипак йули (Луначарское) ",Mirzo Ulugbek,3,100,1,5,80000,41.314662,69.293391
"город Ташкент, Olmzor район, 1-й проезд Чилтугон",Olmzor,5,110,5,5,63500,41.3432641,69.2560774
"город Ташкент, Mirobod район, ЦУМ (Ц-7) ",Mirobod,3,75,6,9,110000,41.3086111,69.2691667
"город Ташкент, Olmzor район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Olmzor,3,70,1,5,62000,41.3333453,69.2475235
"город Ташкент, Shayhontohur район, Караташ",Shayhontohur,3,70,4,5,36999,41.3141622,69.2368973
"город Ташкент, Yakkasaroy район, 1-й проезд Абдуллы Каххара",Yakkasaroy,3,150,3,6,170000,41.2843902,69.2585422
"город Ташкент, Sergeli район, 6А",Sergeli,2,56.1,7,7,37000,41.2304214,69.2117625
"город Ташкент, Yunusobod район, Юнусабад 16-й квартал",Yunusobod,4,83,3,5,54000,41.3825869,69.3019081
"город Ташкент, Uchtepa район, Зангиота",Uchtepa,2,49,4,4,23000,41.2978921,69.1804708
