Loan_ID,Gender,Married,Dependent_No,Education,Self_Employed,Applicant_Income,CoApplicant_Income,Loan_Amount,Loan_Amount_Term,Credit History,Property_District,Loan_Status
23077,Male,TRUE,4,Not Graduate,TRUE,97761,1554,20000,120,0,RCR,0
23078,Male,FALSE,2,Graduate,FALSE,73939,39096,20000,60,1,CCR,1
23079,Female,,1,Not Graduate,TRUE,23849,21755,10000,300,0,CCR,0
23080,Male,FALSE,1,Not Graduate,TRUE,82547,,60000,180,1,OCR,1
23081,Male,FALSE,3,Not Graduate,TRUE,89870,30701,60000,180,0,CCR,0
23082,Female,TRUE,2,Graduate,FALSE,84853,28676,30000,300,1,RCR,1
23083,Female,TRUE,3,Graduate,TRUE,57373,18901,50000,300,1,CCR,0
23084,Male,TRUE,1,Not Graduate,TRUE,87904,26545,60000,300,1,RCR,1
23085,Male,FALSE,4,Graduate,FALSE,29047,23464,60000,120,0,OCR,1
23086,Male,FALSE,4,Not Graduate,FALSE,39977,25310,10000,360,0,OCR,1
23087,Female,,1,Not Graduate,FALSE,22083,11375,30000,360,0,RCR,0
23088,Female,TRUE,0,Not Graduate,FALSE,55981,41804,60000,60,0,RCR,1
23089,Male,FALSE,1,Not Graduate,TRUE,84115,32359,30000,120,1,CCR,1
23090,Male,FALSE,0,Not Graduate,FALSE,37590,41736,10000,120,1,CCR,1
23091,Male,FALSE,1,,FALSE,28893,,10000,120,1,OCR,1
23092,Male,TRUE,2,Not Graduate,TRUE,94400,,20000,60,1,OCR,0
23093,Female,TRUE,3,,FALSE,99334,25803,20000,180,1,OCR,1
23094,Male,FALSE,1,Not Graduate,FALSE,77965,38757,20000,180,1,OCR,0
23095,Male,FALSE,2,Not Graduate,FALSE,70544,13939,60000,240,1,RCR,1
23096,Male,FALSE,3,Graduate,FALSE,25919,2734,30000,60,1,OCR,0
23097,Female,FALSE,4,Not Graduate,TRUE,96009,21601,40000,60,0,OCR,1
23098,Male,FALSE,4,Not Graduate,FALSE,15666,5330,10000,360,1,CCR,1
23099,Female,FALSE,2,Not Graduate,TRUE,45045,24963,10000,60,1,CCR,0
23100,Female,TRUE,1,Graduate,TRUE,93468,,50000,60,1,OCR,0
23101,Male,FALSE,2,Not Graduate,TRUE,76109,,60000,180,1,RCR,0
23102,Male,,1,Not Graduate,TRUE,54702,33457,60000,300,1,OCR,1
23103,Male,FALSE,1,Not Graduate,TRUE,35145,42753,10000,360,1,,0
23104,Male,TRUE,2,Graduate,FALSE,87518,34804,10000,120,0,OCR,1
23105,Male,FALSE,0,Not Graduate,TRUE,14723,6631,20000,300,0,OCR,0
23106,Male,FALSE,0,Not Graduate,TRUE,54806,23825,40000,300,0,OCR,1
23107,Male,TRUE,1,Graduate,TRUE,51300,2330,40000,180,1,RCR,1
23108,Male,TRUE,0,Not Graduate,TRUE,30318,6590,40000,120,0,,0
23109,Male,TRUE,3,Graduate,FALSE,28512,7325,10000,60,0,OCR,0
23110,Male,TRUE,2,Not Graduate,TRUE,7672,30317,30000,120,0,,0
23111,Male,TRUE,3,Graduate,TRUE,61941,25991,30000,360,0,,1
23112,Male,TRUE,1,Graduate,TRUE,54085,15624,20000,60,1,OCR,0
23113,Male,TRUE,0,Not Graduate,TRUE,76472,12695,60000,180,1,OCR,0
23114,Male,FALSE,4,Graduate,TRUE,89338,16371,30000,360,1,OCR,1
23115,Female,TRUE,1,Not Graduate,FALSE,72920,4188,50000,360,1,OCR,1
23116,Male,FALSE,3,Graduate,TRUE,11670,29446,50000,360,1,RCR,0
23117,Male,TRUE,1,Not Graduate,FALSE,47686,18832,60000,180,1,OCR,0
23118,Male,FALSE,3,Graduate,TRUE,57011,38132,40000,60,0,CCR,0
23119,Male,FALSE,4,Not Graduate,TRUE,53735,4119,30000,60,0,RCR,1
23120,Male,FALSE,4,,TRUE,1415,,60000,180,1,CCR,1
23121,Female,FALSE,3,Graduate,TRUE,88076,38926,10000,240,0,CCR,0
23122,Female,TRUE,3,Graduate,TRUE,68940,23390,20000,120,1,OCR,0
23123,Female,FALSE,4,Graduate,FALSE,82340,6276,20000,300,1,CCR,1
23124,Male,FALSE,0,Graduate,TRUE,70107,37426,50000,240,1,OCR,1
23125,Male,TRUE,3,Not Graduate,TRUE,75330,19692,40000,240,1,OCR,1
23126,,FALSE,3,Not Graduate,FALSE,28317,17656,40000,360,0,OCR,1
23127,Male,TRUE,3,Graduate,TRUE,21874,30508,20000,300,0,RCR,0
23128,Male,FALSE,1,Graduate,FALSE,86903,13345,40000,120,1,OCR,1
23129,Female,TRUE,4,Graduate,TRUE,54564,34800,10000,360,1,RCR,0
23130,Male,FALSE,3,,TRUE,23691,7816,50000,60,1,OCR,0
23131,Male,TRUE,3,Not Graduate,FALSE,67778,12223,40000,360,1,CCR,1
23132,Male,FALSE,3,Not Graduate,FALSE,66577,15347,10000,180,1,OCR,0
23133,Female,TRUE,3,Graduate,FALSE,26347,22471,50000,120,1,OCR,0
23134,Female,FALSE,2,Not Graduate,TRUE,76584,18286,60000,240,1,OCR,1
23135,Male,FALSE,3,Not Graduate,FALSE,98004,,60000,360,1,OCR,0
23136,Male,TRUE,2,Graduate,FALSE,12988,37004,10000,180,1,CCR,0
23137,Female,FALSE,4,Graduate,TRUE,38433,15350,30000,240,1,OCR,1
23138,Male,TRUE,2,Graduate,TRUE,47812,15903,50000,60,1,CCR,1
23139,Male,FALSE,1,Graduate,FALSE,92329,13047,10000,240,0,OCR,1
23140,Male,FALSE,3,Not Graduate,TRUE,51606,30709,30000,360,0,OCR,0
23141,Female,FALSE,2,Graduate,TRUE,12059,48495,20000,240,1,CCR,1
23142,Female,FALSE,3,Graduate,TRUE,86921,9389,50000,300,1,RCR,1
23143,Male,FALSE,3,Not Graduate,FALSE,47197,14558,60000,360,0,CCR,1
23144,Male,TRUE,0,Graduate,TRUE,74440,4582,40000,180,1,OCR,1
23145,Male,TRUE,0,Not Graduate,FALSE,99586,37020,50000,60,1,RCR,0
23146,Male,TRUE,0,Graduate,TRUE,26668,,30000,180,0,OCR,0
23147,Female,TRUE,0,Not Graduate,TRUE,86508,,50000,120,0,OCR,1
23148,Male,FALSE,3,Graduate,TRUE,19928,47536,10000,300,1,RCR,0
23149,Male,FALSE,3,,TRUE,79059,47668,10000,180,1,CCR,1
23150,Male,,1,Not Graduate,TRUE,99851,23468,40000,180,0,OCR,1
23151,Male,TRUE,3,Not Graduate,TRUE,15856,,20000,240,1,OCR,1
23152,Male,FALSE,1,Not Graduate,TRUE,65945,10337,50000,60,1,CCR,1
23153,Female,FALSE,4,Not Graduate,TRUE,16168,38326,40000,300,0,CCR,1
23154,Male,,1,Graduate,TRUE,10191,42698,40000,300,0,OCR,1
23155,Male,FALSE,4,Graduate,FALSE,66826,21563,40000,120,0,,1
23156,Female,FALSE,4,Graduate,TRUE,10429,,10000,180,1,OCR,1
23157,Female,FALSE,4,Graduate,TRUE,28226,26752,40000,360,1,CCR,1
23158,Male,,2,,TRUE,20171,30325,10000,180,1,RCR,1
23159,Male,TRUE,3,Not Graduate,TRUE,21307,,60000,300,0,OCR,1
23160,Female,TRUE,0,Graduate,FALSE,57289,23208,20000,240,1,RCR,1
23161,Female,FALSE,2,Graduate,TRUE,66828,46477,30000,120,1,OCR,1
23162,Male,TRUE,1,Graduate,TRUE,38896,18174,50000,240,1,OCR,0
23163,Female,TRUE,4,Graduate,TRUE,58694,44947,50000,240,1,OCR,0
23164,Male,FALSE,4,Not Graduate,TRUE,89011,39331,30000,300,1,OCR,1
23165,Female,FALSE,0,Not Graduate,FALSE,20083,23465,60000,60,1,CCR,1
23166,Female,FALSE,3,Not Graduate,FALSE,67962,37717,30000,180,1,CCR,0
23167,Female,FALSE,4,,TRUE,20001,47754,40000,120,1,RCR,1
23168,Female,FALSE,4,Not Graduate,TRUE,2792,,60000,240,0,OCR,1
23169,Male,TRUE,2,Not Graduate,FALSE,39407,,30000,60,0,CCR,1
23170,Female,FALSE,0,Graduate,FALSE,13804,,40000,300,1,OCR,0
23171,Male,FALSE,3,Not Graduate,TRUE,65936,44730,10000,180,0,CCR,0
23172,Female,FALSE,1,Not Graduate,TRUE,6602,3046,30000,120,1,RCR,1
23173,Male,TRUE,1,Graduate,FALSE,98889,2169,20000,60,1,OCR,1
23174,,FALSE,4,Not Graduate,TRUE,57575,26944,60000,60,1,CCR,0
23175,Female,TRUE,1,,FALSE,65910,47076,20000,240,1,OCR,1
23176,Male,TRUE,3,Graduate,FALSE,70292,13175,40000,300,1,RCR,1
23177,Male,FALSE,4,Graduate,FALSE,90756,,20000,120,0,RCR,0
23178,Male,FALSE,2,Not Graduate,TRUE,47102,12942,30000,300,1,RCR,1
23179,Female,FALSE,0,Graduate,FALSE,66502,37039,40000,120,0,OCR,0
23180,Male,TRUE,3,Graduate,FALSE,17053,45326,10000,240,0,RCR,1
23181,Male,TRUE,3,Graduate,TRUE,39212,,40000,180,1,RCR,1
23182,Male,TRUE,4,Not Graduate,TRUE,9085,9019,60000,180,1,OCR,1
23183,Male,FALSE,4,Graduate,TRUE,85835,44886,10000,300,1,OCR,0
23184,Male,FALSE,2,Not Graduate,FALSE,10516,49982,50000,240,1,OCR,0
23185,,TRUE,1,Graduate,FALSE,26441,2598,50000,180,1,OCR,1
23186,Male,FALSE,4,Graduate,TRUE,13904,32800,60000,60,1,RCR,1
23187,Female,TRUE,4,Graduate,TRUE,34587,13361,30000,180,0,OCR,0
23188,Male,FALSE,1,Not Graduate,TRUE,29845,17111,60000,240,1,OCR,0
23189,Male,FALSE,4,Not Graduate,TRUE,81440,48327,50000,360,1,OCR,0
23190,Male,TRUE,4,Not Graduate,TRUE,2731,35043,30000,300,1,OCR,1
23191,Male,FALSE,4,Not Graduate,TRUE,45482,37966,30000,180,0,RCR,0
23192,Female,FALSE,0,Not Graduate,FALSE,74048,,50000,60,1,OCR,0
23193,Female,TRUE,2,Graduate,FALSE,47304,26263,20000,60,0,OCR,1
23194,Male,TRUE,1,Not Graduate,FALSE,91114,11717,50000,300,0,CCR,1
23195,Male,TRUE,4,Not Graduate,FALSE,21874,16774,50000,300,1,CCR,1
23196,Male,TRUE,2,Not Graduate,TRUE,81087,7902,30000,300,1,RCR,0
23197,Female,FALSE,1,Graduate,TRUE,28975,13132,10000,240,0,CCR,0
23198,Male,FALSE,4,,TRUE,17567,43004,50000,360,0,CCR,1
23199,Female,FALSE,0,Graduate,FALSE,94541,10110,50000,240,1,OCR,0
23200,Female,FALSE,0,Not Graduate,FALSE,69219,16201,50000,300,1,CCR,0
23201,Male,FALSE,2,Graduate,TRUE,28829,47736,40000,120,1,OCR,0
23202,Male,TRUE,0,Graduate,FALSE,81733,4632,50000,120,1,OCR,0
23203,Female,FALSE,1,Graduate,FALSE,99474,6527,10000,60,0,RCR,1
23204,Male,TRUE,2,Not Graduate,FALSE,19409,35813,30000,240,1,CCR,1
23205,Male,FALSE,1,Graduate,FALSE,38885,33202,10000,240,1,CCR,0
23206,Female,FALSE,3,Not Graduate,FALSE,91690,,60000,240,0,OCR,1
23207,Female,TRUE,3,Graduate,TRUE,3411,5271,30000,240,1,OCR,1
23208,Male,FALSE,3,Graduate,FALSE,76701,2592,10000,60,1,OCR,1
23209,Female,TRUE,2,Graduate,TRUE,32573,23838,30000,360,0,CCR,0
23210,Male,FALSE,4,Not Graduate,TRUE,24844,21288,20000,180,1,OCR,1
23211,Male,FALSE,4,Not Graduate,TRUE,85211,,50000,300,1,OCR,1
23212,Male,TRUE,3,Not Graduate,TRUE,40527,17374,60000,180,0,CCR,0
23213,Female,,0,Graduate,FALSE,80837,46228,30000,360,1,CCR,1
23214,Male,TRUE,2,Graduate,FALSE,52919,35105,30000,300,1,RCR,0
23215,Male,TRUE,3,Graduate,FALSE,50022,49560,10000,360,0,OCR,1
23216,Female,,2,Not Graduate,TRUE,72475,6860,30000,300,0,CCR,1
23217,,TRUE,0,Graduate,TRUE,46914,26121,50000,60,1,OCR,1
23218,Male,,0,Not Graduate,FALSE,10831,11771,40000,300,0,RCR,0
23219,Male,TRUE,3,Not Graduate,FALSE,32884,26488,40000,240,0,OCR,0
23220,Female,TRUE,4,Not Graduate,TRUE,29771,13717,40000,300,0,RCR,0
23221,Male,TRUE,3,Graduate,FALSE,99445,49258,10000,240,1,CCR,1
23222,Female,TRUE,0,Not Graduate,FALSE,51765,,40000,360,0,CCR,1
23223,Male,TRUE,4,Graduate,FALSE,27413,13296,10000,360,1,OCR,0
23224,Male,FALSE,2,Graduate,FALSE,87565,,10000,300,0,OCR,1
23225,Male,TRUE,4,Not Graduate,FALSE,3505,19626,20000,180,1,OCR,0
23226,Female,TRUE,3,Not Graduate,FALSE,85771,46799,20000,180,0,OCR,1
23227,Male,,0,Graduate,TRUE,21318,13686,20000,120,1,OCR,1
23228,Female,FALSE,0,Not Graduate,TRUE,91201,40201,10000,300,0,RCR,0
23229,Female,FALSE,0,Not Graduate,FALSE,66314,26001,60000,120,1,OCR,1
23230,Male,FALSE,4,Not Graduate,FALSE,84755,46207,50000,180,0,RCR,1
23231,Male,TRUE,3,Not Graduate,TRUE,60791,25255,30000,60,1,RCR,0
23232,Female,FALSE,3,Not Graduate,TRUE,93530,9661,20000,120,1,OCR,0
23233,Female,TRUE,4,Not Graduate,TRUE,3980,13001,30000,180,1,CCR,1
23234,Male,TRUE,0,Not Graduate,TRUE,19354,46792,30000,300,1,CCR,1
23235,Male,TRUE,4,Graduate,TRUE,64208,39132,60000,180,1,RCR,1
23236,Male,FALSE,4,Not Graduate,TRUE,58502,,20000,300,1,CCR,1
23237,Male,FALSE,2,Not Graduate,TRUE,99640,33304,50000,60,0,CCR,0
23238,Male,TRUE,0,Not Graduate,TRUE,8412,,20000,180,1,OCR,0
23239,Male,TRUE,0,Graduate,TRUE,90797,14377,30000,120,1,CCR,0
23240,Female,FALSE,2,Not Graduate,TRUE,75019,14276,30000,60,1,RCR,0
23241,Male,TRUE,4,Not Graduate,TRUE,78897,25632,10000,240,1,CCR,1
23242,Female,TRUE,0,Not Graduate,FALSE,44229,20717,40000,120,1,OCR,1
23243,Female,TRUE,3,Graduate,FALSE,65477,49143,30000,300,1,OCR,1
23244,Female,TRUE,2,Graduate,TRUE,98206,26969,40000,120,0,CCR,1
23245,Female,FALSE,1,Not Graduate,TRUE,66016,14553,20000,360,0,RCR,0
23246,Male,FALSE,2,Graduate,TRUE,83543,,10000,240,1,CCR,0
23247,Male,TRUE,1,Graduate,FALSE,14204,16312,30000,300,1,RCR,1
23248,Male,TRUE,3,Not Graduate,TRUE,42401,42121,50000,300,0,RCR,0
23249,Male,TRUE,2,Not Graduate,FALSE,67953,16412,50000,60,1,OCR,1
23250,Male,TRUE,2,Graduate,TRUE,23391,24420,20000,240,1,OCR,0
23251,Male,FALSE,3,Graduate,TRUE,87127,29887,50000,60,1,OCR,1
23252,Male,TRUE,2,Graduate,TRUE,71777,42360,40000,180,1,RCR,1
23253,Male,FALSE,4,Not Graduate,TRUE,73608,6233,20000,120,1,RCR,1
23254,Male,FALSE,0,Graduate,TRUE,49785,,50000,120,0,OCR,1
23255,Male,FALSE,0,Not Graduate,FALSE,15085,39166,50000,60,1,OCR,1
23256,Male,FALSE,2,Graduate,FALSE,50625,35552,20000,300,1,RCR,1
23257,Male,FALSE,1,Not Graduate,TRUE,51141,,10000,180,1,CCR,1
23258,Male,FALSE,2,Not Graduate,FALSE,86926,16628,40000,240,0,OCR,1
23259,Female,,3,Not Graduate,TRUE,27300,2010,30000,120,1,OCR,0
23260,Female,TRUE,3,Graduate,TRUE,35697,7221,40000,300,1,OCR,1
23261,Male,FALSE,1,Graduate,TRUE,57244,46674,20000,360,1,RCR,1
23262,Male,FALSE,4,Graduate,FALSE,39871,33966,60000,300,1,OCR,1
23263,Female,FALSE,3,Graduate,TRUE,25434,48231,60000,360,1,OCR,1
23264,Male,FALSE,3,Not Graduate,TRUE,69793,19591,30000,60,0,OCR,0
23265,Female,FALSE,3,Not Graduate,FALSE,12804,44270,30000,120,1,OCR,1
23266,Female,FALSE,4,Not Graduate,FALSE,98832,20420,50000,300,1,OCR,0
23267,Male,FALSE,4,Graduate,TRUE,38207,37588,50000,300,1,OCR,1
23268,Female,FALSE,1,Not Graduate,FALSE,55826,37299,30000,180,1,OCR,1
23269,Female,TRUE,4,Not Graduate,TRUE,37930,,60000,180,0,CCR,1
23270,Male,FALSE,4,Not Graduate,FALSE,60376,13755,50000,60,1,OCR,1
23271,Female,TRUE,4,Not Graduate,TRUE,80582,39963,60000,60,1,RCR,1
23272,Male,,4,Graduate,FALSE,74027,37162,10000,240,0,OCR,0
23273,Male,FALSE,3,Graduate,TRUE,80757,32346,10000,360,1,RCR,1
23274,Female,FALSE,2,Graduate,TRUE,37877,21540,40000,60,1,CCR,0
23275,Male,TRUE,1,Graduate,FALSE,75430,,30000,60,1,RCR,1
23276,Female,TRUE,4,Not Graduate,TRUE,94652,48254,60000,180,1,OCR,0
23277,Male,FALSE,4,Not Graduate,TRUE,29988,11968,20000,300,1,OCR,1
23278,Female,FALSE,0,,TRUE,67368,15240,10000,360,1,RCR,1
23279,Male,TRUE,2,Graduate,TRUE,27622,16852,60000,300,1,OCR,1
23280,Male,FALSE,0,Not Graduate,FALSE,14449,7163,10000,360,1,OCR,1
23281,Female,FALSE,2,Not Graduate,FALSE,4951,7372,30000,180,1,CCR,0
23282,Female,FALSE,0,Not Graduate,FALSE,64907,47764,20000,360,1,OCR,0
23283,Male,FALSE,3,Not Graduate,TRUE,28396,,30000,180,1,OCR,1
23284,Male,FALSE,4,Graduate,TRUE,69117,32054,30000,60,1,CCR,1
23285,Female,TRUE,0,Graduate,TRUE,52939,16185,20000,300,1,RCR,1
23286,Female,FALSE,0,Not Graduate,TRUE,17647,18432,20000,60,1,OCR,0
23287,Male,FALSE,1,Not Graduate,TRUE,84804,42129,60000,240,1,OCR,0
23288,Female,TRUE,2,Not Graduate,FALSE,51543,,50000,180,0,RCR,0
23289,Female,FALSE,3,Not Graduate,TRUE,41992,24679,60000,60,1,OCR,0
23290,Female,FALSE,3,Not Graduate,TRUE,4072,5028,60000,180,1,OCR,0
23291,Male,FALSE,1,Graduate,FALSE,30422,44565,50000,360,1,RCR,1
23292,Male,FALSE,3,,FALSE,69488,43518,30000,360,1,RCR,1
23293,Male,TRUE,1,Not Graduate,FALSE,62577,44377,40000,60,1,OCR,1
23294,Male,,1,Not Graduate,TRUE,92958,3115,20000,180,1,RCR,0
23295,Male,TRUE,4,Not Graduate,FALSE,16956,35066,10000,120,0,RCR,0
23296,Male,FALSE,1,,FALSE,35113,16657,10000,360,0,OCR,1
23297,,FALSE,4,Graduate,TRUE,40657,38593,30000,180,1,CCR,1
23298,,,1,Graduate,FALSE,90157,22996,10000,60,1,OCR,1
23299,Male,TRUE,2,Not Graduate,TRUE,44039,45472,50000,240,1,RCR,1
23300,Male,FALSE,1,Not Graduate,TRUE,76522,4522,10000,120,1,OCR,1
23301,Male,TRUE,4,Not Graduate,TRUE,83015,22031,50000,60,1,CCR,0
23302,Female,FALSE,0,Not Graduate,TRUE,88520,,20000,120,0,OCR,0
23303,Male,TRUE,1,Graduate,TRUE,70289,6607,40000,120,0,CCR,1
23304,Male,TRUE,1,Graduate,FALSE,47828,44514,20000,240,1,RCR,1
23305,Male,TRUE,1,,TRUE,86654,36024,20000,120,1,RCR,1
23306,Female,FALSE,0,Not Graduate,TRUE,29693,44245,60000,240,0,RCR,0
23307,Male,FALSE,3,Not Graduate,TRUE,92954,46400,30000,360,1,OCR,0
23308,Female,,4,Graduate,FALSE,36906,25967,40000,240,1,CCR,0
23309,Female,FALSE,0,Graduate,TRUE,46952,,50000,180,1,CCR,0
23310,Female,FALSE,0,Not Graduate,FALSE,83236,,30000,360,0,RCR,1
23311,Female,TRUE,2,Not Graduate,FALSE,23065,,40000,180,0,RCR,1
23312,Female,FALSE,1,Not Graduate,TRUE,57046,45446,50000,360,1,RCR,1
23313,Male,FALSE,3,,FALSE,97808,41147,40000,60,1,RCR,0
23314,Male,FALSE,0,Not Graduate,FALSE,69980,21107,30000,120,1,CCR,1
23315,Male,FALSE,2,Not Graduate,TRUE,81400,22800,10000,360,1,OCR,1
23316,Female,TRUE,0,Not Graduate,TRUE,5630,17474,30000,240,0,RCR,1
23317,Female,FALSE,3,Not Graduate,FALSE,38306,23301,30000,360,1,RCR,1
23318,Female,FALSE,2,Not Graduate,TRUE,70981,48305,20000,180,1,OCR,0
23319,Female,FALSE,3,Not Graduate,TRUE,4115,19651,10000,180,0,OCR,1
23320,Female,FALSE,1,Not Graduate,TRUE,4593,17913,10000,240,1,CCR,1
23321,Male,FALSE,2,Not Graduate,TRUE,40701,,30000,300,0,OCR,0
23322,Female,TRUE,1,,FALSE,50856,19013,50000,180,1,OCR,1
23323,Male,TRUE,1,Graduate,TRUE,62691,8642,50000,180,1,CCR,1
23324,Female,TRUE,0,Not Graduate,FALSE,46075,41235,40000,240,1,OCR,1
23325,Female,FALSE,1,Graduate,TRUE,81609,35656,10000,240,1,CCR,1
23326,Male,FALSE,0,Graduate,TRUE,74414,42245,40000,180,1,CCR,1
23327,Male,TRUE,4,Not Graduate,FALSE,21381,36765,10000,120,1,CCR,1
