id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
15,Male,disloyal Customer,56,Business travel,Business,229,2,2,2,3,3,2,3,3,4,3,3,3,4,3,0,0.0,0
16,Female,disloyal Customer,46,Business travel,Business,405,3,4,4,3,5,3,5,5,5,2,4,4,4,5,1,0.0,0
17,Male,Loyal Customer,47,Personal Travel,Eco,1195,3,4,3,2,4,3,4,4,3,2,5,5,5,4,76,61.0,0
18,Female,Loyal Customer,31,Business travel,Business,102,0,3,0,4,5,5,5,5,5,1,2,3,5,5,0,0.0,1
19,Male,Loyal Customer,39,Personal Travel,Eco,666,4,1,4,4,1,4,1,1,1,5,3,2,3,1,0,0.0,0
20,Male,disloyal Customer,36,Business travel,Business,337,3,3,3,3,5,3,5,5,3,4,4,4,4,5,0,0.0,0
21,Female,Loyal Customer,29,Personal Travel,Eco,882,0,1,0,3,5,0,5,5,1,3,3,3,4,5,16,5.0,1
22,Female,disloyal Customer,19,Business travel,Eco,287,5,0,5,1,1,0,1,1,3,4,3,4,5,1,0,0.0,1
23,Female,Loyal Customer,52,Personal Travel,Eco,1346,2,4,2,4,2,2,4,3,3,2,3,4,3,3,0,0.0,0
24,Female,Loyal Customer,34,Personal Travel,Eco,861,2,4,2,2,3,2,5,3,3,3,5,5,4,3,2,3.0,0
25,Female,Loyal Customer,44,Business travel,Eco,2504,2,2,5,2,2,3,2,2,2,2,2,1,2,4,12,2.0,0
26,Female,Loyal Customer,49,Business travel,Business,3804,3,3,3,3,5,4,4,5,5,4,5,4,5,4,42,32.0,1
27,Female,Loyal Customer,45,Business travel,Eco,1504,5,4,4,4,5,2,2,5,5,5,5,4,5,3,0,0.0,1
28,Male,Loyal Customer,38,Business travel,Eco,554,2,5,5,5,2,2,2,2,3,5,3,4,4,2,0,1.0,0
29,Female,Loyal Customer,58,Personal Travel,Eco,787,3,5,4,3,3,5,4,2,2,4,1,5,2,5,36,51.0,0
30,Female,Loyal Customer,41,Business travel,Eco,1197,5,5,5,5,5,5,5,5,4,1,4,2,4,5,0,0.0,1
31,Male,Loyal Customer,59,Business travel,Business,2491,2,1,1,1,1,2,3,2,2,2,2,1,2,3,5,0.0,0
32,Male,Loyal Customer,49,Business travel,Business,3627,1,1,1,1,3,5,4,5,5,5,5,5,5,5,31,18.0,1
33,Female,Loyal Customer,31,Business travel,Business,719,2,3,5,5,2,2,2,2,2,4,2,4,2,2,0,0.0,0
34,Female,Loyal Customer,69,Personal Travel,Eco,731,4,1,4,4,2,3,3,5,5,4,5,4,5,1,3,0.0,1
35,Female,Loyal Customer,45,Business travel,Eco,1041,3,3,3,3,2,4,4,3,3,3,3,3,3,4,0,14.0,0
36,Male,Loyal Customer,67,Personal Travel,Eco,965,4,4,4,3,3,4,3,3,4,4,4,3,4,3,3,0.0,1
37,Male,Loyal Customer,46,Personal Travel,Eco,2367,3,5,3,2,4,3,3,4,3,3,4,5,5,4,0,0.0,0
38,Female,Loyal Customer,68,Personal Travel,Eco,304,3,5,3,3,4,4,5,4,4,3,4,5,4,3,0,0.0,0
39,Male,Loyal Customer,25,Personal Travel,Eco,1487,4,5,4,2,5,4,5,5,4,5,5,4,5,5,0,0.0,1
40,Female,Loyal Customer,19,Personal Travel,Eco,813,3,4,4,3,4,4,4,4,4,3,3,1,4,4,7,1.0,0
41,Female,Loyal Customer,54,Business travel,Business,3703,2,2,2,2,4,3,3,2,2,2,2,4,2,4,1,0.0,0
42,Female,disloyal Customer,40,Business travel,Business,125,2,2,2,4,1,2,1,1,2,2,3,1,4,1,17,16.0,0
43,Female,Loyal Customer,54,Business travel,Eco,370,3,1,1,1,4,3,4,3,3,3,3,2,3,3,1,21.0,0
44,Female,Loyal Customer,49,Business travel,Business,1704,1,1,1,1,4,4,4,3,3,4,5,4,5,4,138,134.0,1
45,Male,Loyal Customer,40,Business travel,Business,1773,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0.0,1
46,Female,Loyal Customer,25,Business travel,Business,650,4,4,4,4,4,5,4,4,4,5,5,5,4,4,0,16.0,1
47,Male,Loyal Customer,55,Personal Travel,Eco,251,3,3,3,4,1,3,1,1,4,3,3,4,4,1,0,7.0,0
48,Male,Loyal Customer,60,Business travel,Business,945,1,4,4,4,2,3,4,1,1,1,1,4,1,2,7,16.0,0
49,Female,Loyal Customer,26,Business travel,Business,1988,4,4,4,4,4,4,4,4,5,4,1,4,3,4,37,28.0,1
50,Male,Loyal Customer,49,Business travel,Business,1709,5,5,5,5,2,5,4,5,5,5,5,4,5,4,4,0.0,1
51,Female,Loyal Customer,45,Business travel,Business,3575,4,4,4,4,5,5,4,5,5,5,5,4,5,5,0,0.0,1
52,Male,Loyal Customer,15,Business travel,Business,3586,5,5,5,5,4,4,4,4,3,3,5,5,5,4,0,0.0,1
53,Female,Loyal Customer,61,Business travel,Business,2535,1,1,1,1,5,3,5,4,4,4,5,3,4,1,0,2.0,1
54,Male,disloyal Customer,44,Business travel,Business,328,3,2,2,3,2,3,2,2,4,3,5,4,5,2,15,17.0,0
55,Female,disloyal Customer,20,Business travel,Eco,414,4,3,4,3,2,4,3,2,4,5,4,3,4,2,11,8.0,0
56,Female,Loyal Customer,24,Business travel,Business,2651,5,5,5,5,4,4,4,4,4,2,3,1,2,4,1,4.0,1
57,Male,Loyal Customer,46,Business travel,Business,622,1,1,1,1,4,4,3,4,4,4,4,2,4,5,0,0.0,1
58,Male,Loyal Customer,19,Personal Travel,Business,1186,1,4,1,2,2,1,2,2,3,2,4,3,4,2,28,26.0,0
59,Male,Loyal Customer,25,Business travel,Business,1440,5,5,5,5,4,4,4,4,5,5,5,5,4,4,57,105.0,1
60,Female,disloyal Customer,26,Business travel,Eco,391,2,0,2,4,3,2,1,3,5,4,3,5,3,3,1,0.0,0
61,Female,Loyal Customer,64,Personal Travel,Eco Plus,594,2,4,2,4,5,3,4,2,2,2,2,4,2,4,0,0.0,0
62,Female,Loyal Customer,57,Business travel,Business,2445,1,1,1,1,4,5,5,3,3,3,3,5,3,4,0,0.0,1
63,Female,Loyal Customer,25,Business travel,Eco,817,4,3,3,3,4,4,4,4,1,2,4,1,4,4,0,0.0,1
64,Male,Loyal Customer,67,Personal Travel,Eco,109,4,4,4,3,1,4,1,1,4,3,3,3,4,1,0,0.0,0
65,Female,Loyal Customer,24,Personal Travel,Eco Plus,641,2,4,2,2,3,2,3,3,5,5,4,3,4,3,0,0.0,0
66,Female,Loyal Customer,53,Personal Travel,Eco,1005,2,5,3,2,4,5,4,2,2,3,2,5,2,5,35,50.0,0
67,Male,Loyal Customer,13,Personal Travel,Eco,1005,2,5,2,4,2,2,3,2,4,4,5,3,4,2,1,0.0,0
68,Male,Loyal Customer,38,Business travel,Business,1121,5,5,5,5,4,4,4,4,1,5,1,4,3,4,269,260.0,1
69,Male,Loyal Customer,60,Business travel,Business,3887,5,5,5,5,2,4,4,5,5,5,5,3,5,5,0,0.0,1
70,Female,Loyal Customer,44,Business travel,Eco,756,4,5,5,5,3,3,4,4,4,4,4,2,4,3,7,6.0,0
71,Male,Loyal Customer,46,Personal Travel,Eco,472,1,3,1,1,4,1,4,4,3,1,2,2,1,4,14,5.0,0
72,Male,disloyal Customer,62,Business travel,Business,277,3,3,3,2,1,3,1,1,3,4,4,4,5,1,0,0.0,0
73,Male,Loyal Customer,26,Personal Travel,Eco,868,3,4,2,1,3,2,3,3,5,2,4,2,1,3,11,16.0,0
74,Female,disloyal Customer,26,Business travel,Business,442,0,0,0,3,2,0,2,2,5,5,2,4,2,2,0,1.0,1
75,Female,Loyal Customer,36,Business travel,Business,373,5,5,5,5,4,4,4,5,5,5,5,5,5,3,27,22.0,1
76,Male,Loyal Customer,50,Business travel,Business,646,1,1,1,1,5,4,4,4,4,4,4,4,4,3,47,47.0,1
77,Female,Loyal Customer,48,Business travel,Business,3150,3,4,3,3,4,4,4,3,3,3,3,5,3,4,21,14.0,1
78,Male,Loyal Customer,39,Business travel,Eco Plus,192,4,5,5,5,4,4,4,4,2,3,2,4,4,4,0,0.0,1
79,Female,Loyal Customer,51,Business travel,Business,337,1,1,1,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1
80,Male,Loyal Customer,41,Business travel,Business,1121,5,5,5,5,4,4,5,4,4,4,4,3,4,4,0,0.0,1
81,Male,Loyal Customer,11,Personal Travel,Eco,674,3,5,3,3,1,3,1,1,5,3,5,4,5,1,0,0.0,0
82,Female,Loyal Customer,55,Business travel,Business,2053,4,4,4,4,5,4,5,4,4,4,5,3,4,3,0,0.0,1
83,Female,disloyal Customer,20,Business travel,Eco,144,0,3,0,2,2,0,2,2,1,3,3,3,5,2,0,9.0,1
84,Female,Loyal Customer,46,Personal Travel,Eco Plus,1620,3,4,2,1,5,4,5,4,4,2,4,3,4,5,0,1.0,0
85,Male,Loyal Customer,55,Business travel,Eco,119,5,2,4,2,5,5,5,5,1,1,1,5,1,5,0,0.0,1
86,Female,Loyal Customer,36,Personal Travel,Eco,590,3,5,3,3,2,3,2,2,5,2,5,3,4,2,0,0.0,0
87,Male,Loyal Customer,17,Personal Travel,Eco,859,0,2,0,3,1,0,1,1,4,5,3,1,4,1,0,0.0,1
88,Female,Loyal Customer,55,Business travel,Business,325,2,2,2,2,4,5,5,5,5,5,5,4,5,3,0,0.0,1
89,Female,disloyal Customer,23,Business travel,Eco,680,3,3,3,4,1,3,1,1,1,3,4,3,4,1,10,8.0,0
90,Female,Loyal Customer,69,Personal Travel,Eco,226,3,4,3,3,4,5,4,2,2,3,1,3,2,4,0,0.0,0
91,Female,Loyal Customer,72,Business travel,Eco,134,4,4,4,4,1,4,5,4,4,4,4,1,4,1,0,0.0,1
92,Female,Loyal Customer,36,Personal Travel,Eco,948,4,3,4,3,4,4,4,4,3,4,4,1,3,4,0,0.0,0
93,Male,Loyal Customer,80,Business travel,Eco Plus,459,4,3,3,3,4,4,4,2,4,4,3,4,2,4,208,204.0,0
94,Male,Loyal Customer,39,Business travel,Eco Plus,82,5,5,5,5,5,5,5,5,3,1,3,2,3,5,0,0.0,1
95,Female,Loyal Customer,28,Personal Travel,Eco,192,2,5,2,4,5,2,3,5,3,3,4,3,5,5,0,0.0,0
96,Female,disloyal Customer,24,Business travel,Eco Plus,247,5,0,5,3,2,5,2,2,4,5,1,5,3,2,0,0.0,1
97,Male,disloyal Customer,25,Business travel,Eco,1075,3,3,3,3,2,3,2,2,2,3,3,3,3,2,12,51.0,0
98,Male,Loyal Customer,8,Personal Travel,Eco,895,4,5,4,3,4,4,4,4,3,4,5,3,4,4,5,6.0,0
99,Male,Loyal Customer,56,Personal Travel,Eco,846,2,4,2,1,3,2,3,3,4,3,5,4,5,3,31,25.0,0
100,Male,Loyal Customer,40,Business travel,Business,550,1,1,1,1,3,1,5,4,4,4,4,2,4,3,0,2.0,1
101,Female,disloyal Customer,37,Business travel,Eco,226,3,2,3,2,4,3,3,4,2,2,2,1,3,4,1,0.0,0
102,Male,Loyal Customer,31,Business travel,Business,547,3,3,3,3,4,4,4,4,4,5,4,1,1,4,0,0.0,1
103,Female,Loyal Customer,9,Personal Travel,Eco,746,2,1,3,1,4,3,4,4,4,1,1,3,1,4,20,7.0,0
104,Female,Loyal Customer,36,Business travel,Business,2504,3,2,3,3,2,1,1,3,3,3,3,2,3,4,68,61.0,0
105,Female,Loyal Customer,15,Business travel,Business,2569,3,3,3,3,5,5,5,5,3,4,2,1,3,5,0,0.0,1
106,Male,Loyal Customer,37,Business travel,Business,468,1,1,1,1,4,4,5,4,4,4,4,5,4,5,7,0.0,1
107,Female,Loyal Customer,30,Business travel,Business,480,1,1,1,1,5,5,5,5,3,4,4,3,5,5,21,17.0,1
108,Female,Loyal Customer,30,Business travel,Business,2615,1,5,5,5,1,1,1,2,2,3,4,1,3,1,47,41.0,0
109,Female,Loyal Customer,51,Business travel,Eco,305,4,4,4,4,1,2,3,3,3,4,3,3,3,2,7,0.0,1
110,Male,Loyal Customer,44,Business travel,Business,1889,2,2,1,2,3,5,5,3,3,3,3,5,3,5,0,1.0,1
111,Female,Loyal Customer,42,Business travel,Business,373,4,4,4,4,2,4,4,3,3,3,3,4,3,4,0,0.0,1
112,Female,disloyal Customer,21,Business travel,Business,1075,5,0,5,1,2,5,2,2,5,3,4,5,4,2,0,0.0,1
113,Male,Loyal Customer,32,Business travel,Business,2248,2,2,2,2,5,5,5,5,4,4,3,3,4,5,0,0.0,1
114,Male,Loyal Customer,56,Business travel,Eco,669,2,4,3,4,2,2,2,2,2,3,3,4,4,2,21,7.0,0
115,Male,Loyal Customer,39,Business travel,Business,3721,2,2,2,2,1,5,4,5,5,5,5,1,5,2,0,0.0,1
116,Female,Loyal Customer,37,Business travel,Eco,86,3,1,5,5,3,3,3,3,2,5,5,5,5,3,0,0.0,1
117,Female,Loyal Customer,38,Personal Travel,Eco,1262,5,5,5,3,3,5,3,3,4,5,4,5,5,3,0,0.0,1
118,Female,Loyal Customer,9,Personal Travel,Eco Plus,954,2,4,2,2,5,2,5,5,4,4,4,5,5,5,2,5.0,0
119,Female,Loyal Customer,58,Business travel,Business,192,4,4,4,4,2,5,5,5,5,5,4,3,5,3,0,0.0,1
120,Female,Loyal Customer,25,Business travel,Eco,677,5,1,1,1,5,5,5,5,5,5,3,3,5,5,56,48.0,1
121,Female,Loyal Customer,47,Personal Travel,Business,642,2,5,2,3,3,5,4,2,2,2,2,5,2,4,0,0.0,0
122,Female,Loyal Customer,13,Personal Travel,Eco,1185,1,2,1,3,3,1,3,3,4,1,3,2,3,3,16,0.0,0
123,Male,Loyal Customer,55,Business travel,Business,3730,2,2,2,2,5,4,4,4,4,4,4,3,4,5,32,20.0,1
124,Male,Loyal Customer,43,Business travel,Eco,835,2,3,4,3,2,2,2,2,1,2,4,1,3,2,1,12.0,0
125,Male,disloyal Customer,48,Business travel,Business,604,3,3,3,3,2,3,1,2,5,3,5,5,5,2,8,7.0,0
126,Male,Loyal Customer,57,Business travel,Business,1107,3,3,3,3,3,4,4,5,5,4,5,3,5,4,1,0.0,1
127,Male,Loyal Customer,60,Business travel,Business,762,2,2,2,2,3,5,5,4,4,4,4,4,4,5,0,0.0,1
128,Male,Loyal Customer,61,Business travel,Eco,109,2,5,5,5,2,2,2,2,3,1,5,1,2,2,42,31.0,1
129,Female,Loyal Customer,59,Business travel,Business,255,5,5,5,5,4,4,5,5,5,5,5,5,5,3,75,72.0,1
130,Male,Loyal Customer,34,Personal Travel,Eco,1500,1,1,0,2,4,0,4,4,2,1,2,1,2,4,37,23.0,0
131,Male,Loyal Customer,50,Personal Travel,Eco,1635,1,5,1,3,4,1,4,4,3,5,5,3,4,4,0,4.0,0
132,Female,disloyal Customer,20,Business travel,Eco,1024,4,4,4,1,4,4,4,4,1,2,5,4,3,4,25,33.0,1
133,Female,Loyal Customer,52,Business travel,Business,1739,1,1,3,1,2,4,4,5,5,5,5,4,5,3,0,0.0,1
134,Male,Loyal Customer,65,Personal Travel,Eco Plus,468,1,1,4,3,2,4,4,2,4,3,3,2,4,2,0,0.0,0
135,Female,Loyal Customer,30,Business travel,Eco,462,1,1,1,1,1,1,1,1,4,1,3,3,3,1,61,64.0,0
136,Male,Loyal Customer,39,Business travel,Business,3349,4,4,4,4,5,4,5,4,4,4,4,5,4,5,0,0.0,1
137,Female,Loyal Customer,53,Business travel,Business,1416,2,2,2,2,2,5,4,5,5,5,5,4,5,3,0,0.0,1
138,Male,Loyal Customer,30,Business travel,Business,1389,5,5,5,5,4,4,4,4,3,3,4,3,4,4,6,0.0,1
139,Male,Loyal Customer,29,Personal Travel,Eco,363,3,1,3,4,1,3,5,1,1,5,4,1,3,1,2,14.0,0
140,Male,Loyal Customer,49,Personal Travel,Eco,333,2,5,2,3,3,2,3,3,3,4,4,5,5,3,29,13.0,0
141,Male,Loyal Customer,12,Business travel,Eco,721,4,4,4,4,4,5,3,4,5,5,2,2,2,4,0,0.0,1
142,Male,disloyal Customer,30,Business travel,Eco,577,2,3,2,3,5,2,5,5,3,5,3,3,4,5,10,17.0,0
143,Male,Loyal Customer,25,Business travel,Business,2685,2,2,2,2,5,5,5,4,4,4,4,5,5,5,175,,1
144,Female,Loyal Customer,34,Personal Travel,Eco,313,0,4,0,3,5,0,5,5,4,2,4,5,4,5,127,131.0,1
145,Female,Loyal Customer,60,Business travel,Business,406,3,3,4,3,1,4,5,2,2,2,2,5,2,3,0,1.0,1
146,Male,Loyal Customer,13,Personal Travel,Eco,912,2,5,2,3,1,2,1,1,5,5,5,4,5,1,0,0.0,0
147,Male,Loyal Customer,48,Business travel,Business,1894,3,5,3,3,5,5,5,5,5,5,5,5,5,5,307,299.0,1
148,Male,Loyal Customer,62,Personal Travel,Eco,101,2,5,2,1,2,2,2,2,5,3,5,2,2,2,0,0.0,0
149,Male,Loyal Customer,33,Business travel,Business,1721,5,5,5,5,4,4,4,4,5,3,4,2,5,4,27,14.0,1
150,Female,disloyal Customer,42,Business travel,Business,1011,3,3,3,1,1,3,1,1,5,4,4,4,4,1,0,2.0,0
151,Male,disloyal Customer,23,Business travel,Eco,646,2,0,2,5,3,2,3,3,4,2,4,1,2,3,0,2.0,0
152,Female,Loyal Customer,32,Personal Travel,Eco,925,5,1,5,4,5,5,5,5,3,1,3,4,4,5,12,0.0,1
153,Male,Loyal Customer,22,Business travel,Business,468,2,5,5,5,2,2,2,2,1,2,4,1,3,2,0,0.0,0
154,Female,disloyal Customer,54,Business travel,Eco,888,3,4,4,3,3,4,3,3,2,3,3,2,4,3,0,0.0,0
155,Female,disloyal Customer,48,Business travel,Business,606,4,4,4,5,4,4,1,4,5,3,5,3,5,4,0,0.0,1
156,Female,Loyal Customer,46,Business travel,Business,2670,3,3,3,3,2,5,5,3,3,4,3,4,3,5,8,0.0,1
157,Male,disloyal Customer,23,Business travel,Eco,349,4,0,4,3,5,4,5,5,4,5,4,4,5,5,17,7.0,1
158,Female,Loyal Customer,44,Business travel,Business,867,2,2,2,2,5,4,4,2,2,2,2,4,2,4,0,0.0,1
159,Female,Loyal Customer,32,Business travel,Eco Plus,247,2,2,2,2,2,3,2,2,3,1,3,4,4,2,29,38.0,0
160,Male,Loyal Customer,41,Business travel,Business,1747,1,1,1,1,5,4,5,5,5,5,5,3,5,4,20,34.0,1
161,Male,Loyal Customer,42,Business travel,Business,3778,2,2,2,2,5,4,4,4,4,4,4,3,4,3,0,0.0,1
162,Male,Loyal Customer,67,Business travel,Business,1832,1,4,4,4,4,3,4,1,1,1,1,4,1,1,0,0.0,0
163,Male,Loyal Customer,40,Business travel,Business,3434,3,3,3,3,4,4,4,4,4,4,4,5,4,3,0,9.0,1
164,Female,Loyal Customer,35,Business travel,Business,2558,4,1,4,4,4,1,5,4,4,4,4,4,4,1,0,0.0,1
165,Female,disloyal Customer,30,Business travel,Eco,337,3,1,3,4,4,3,3,4,1,5,3,4,4,4,0,0.0,0
166,Male,Loyal Customer,44,Business travel,Eco,451,3,4,4,4,3,3,3,3,3,2,4,2,4,3,0,0.0,0
167,Male,Loyal Customer,9,Business travel,Business,708,1,1,1,1,1,1,1,1,2,3,4,1,3,1,20,14.0,0
168,Female,Loyal Customer,51,Business travel,Business,3364,1,1,1,1,4,4,5,5,5,5,5,3,5,4,0,0.0,1
169,Female,Loyal Customer,9,Personal Travel,Eco,516,3,2,3,4,4,3,2,4,4,3,4,3,4,4,0,0.0,0
170,Female,Loyal Customer,38,Personal Travel,Eco,666,5,0,5,4,3,5,3,3,4,3,5,5,5,3,0,0.0,1
171,Male,Loyal Customer,49,Business travel,Business,1729,5,5,5,5,2,4,4,5,5,5,5,4,5,4,5,5.0,1
172,Female,Loyal Customer,17,Business travel,Business,3878,5,3,5,5,2,3,2,2,2,2,2,1,5,2,30,22.0,1
173,Female,Loyal Customer,56,Business travel,Business,1735,4,4,4,4,4,5,5,4,4,4,4,5,4,4,11,10.0,1
174,Male,Loyal Customer,48,Business travel,Business,3386,1,1,1,1,2,4,5,5,5,5,5,5,5,4,0,0.0,1
175,Male,Loyal Customer,24,Business travel,Business,781,3,3,2,3,4,4,4,4,2,2,5,2,3,4,0,0.0,1
176,Female,Loyal Customer,18,Business travel,Business,432,1,1,1,1,4,4,4,4,3,2,4,4,4,4,13,4.0,1
177,Female,Loyal Customer,56,Business travel,Business,1506,3,3,3,3,5,5,4,4,4,5,4,5,4,5,0,0.0,1
178,Male,Loyal Customer,62,Business travel,Business,731,1,1,1,1,5,4,5,5,5,5,5,4,5,5,43,61.0,1
179,Female,Loyal Customer,57,Personal Travel,Eco Plus,310,3,5,3,2,3,5,5,2,2,3,4,3,2,4,0,0.0,0
180,Male,Loyal Customer,52,Business travel,Business,258,1,1,1,1,5,4,4,4,4,4,4,5,4,3,0,5.0,1
181,Male,Loyal Customer,56,Business travel,Business,426,5,5,5,5,2,4,4,4,4,4,4,5,4,3,81,71.0,1
182,Male,Loyal Customer,32,Personal Travel,Eco Plus,2342,1,4,1,4,3,1,3,3,3,3,4,1,3,3,28,31.0,0
183,Male,Loyal Customer,29,Business travel,Business,2715,5,5,5,5,4,4,4,4,5,4,5,3,5,4,0,0.0,1
184,Female,Loyal Customer,62,Personal Travel,Eco,929,4,5,4,3,3,5,5,5,5,4,1,5,5,4,0,0.0,0
185,Male,Loyal Customer,39,Business travel,Business,2712,2,2,2,2,5,5,5,4,4,4,4,3,4,5,0,0.0,1
186,Female,Loyal Customer,21,Business travel,Eco,430,2,3,3,3,2,2,4,2,4,4,4,3,3,2,0,0.0,0
187,Male,Loyal Customer,34,Business travel,Business,522,3,5,3,3,3,5,5,5,5,5,5,5,5,5,0,2.0,1
188,Male,Loyal Customer,57,Business travel,Business,1595,3,3,3,3,3,5,5,5,5,5,5,4,5,5,63,73.0,1
189,Female,disloyal Customer,39,Business travel,Business,177,1,1,1,4,1,1,1,1,4,1,2,5,3,1,0,0.0,0
190,Female,Loyal Customer,35,Business travel,Business,372,1,0,0,4,3,4,3,1,1,0,4,4,1,4,0,0.0,0
191,Female,disloyal Customer,18,Business travel,Business,802,0,5,0,2,4,0,4,4,3,2,4,3,4,4,28,25.0,1
192,Female,Loyal Customer,51,Business travel,Business,446,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,1
193,Female,disloyal Customer,19,Business travel,Eco,425,4,0,5,2,5,5,5,5,4,4,4,5,4,5,0,0.0,1
194,Female,Loyal Customer,69,Personal Travel,Eco,964,1,5,1,3,3,5,4,5,5,1,1,4,5,5,0,5.0,0
195,Female,Loyal Customer,35,Business travel,Business,3897,1,4,4,4,2,4,3,2,2,3,1,1,2,1,0,0.0,0
196,Female,Loyal Customer,22,Business travel,Eco,1542,2,4,4,4,2,3,4,2,4,2,4,1,4,2,0,0.0,0
197,Female,Loyal Customer,18,Business travel,Business,529,3,3,4,3,4,4,4,4,4,5,1,3,2,4,0,4.0,1
198,Female,Loyal Customer,8,Personal Travel,Eco,542,3,2,3,2,4,3,4,4,1,1,1,2,2,4,0,10.0,0
199,Male,Loyal Customer,53,Personal Travel,Eco,627,1,4,2,2,5,2,5,5,4,5,4,4,5,5,33,32.0,0
200,Male,Loyal Customer,58,Business travel,Eco Plus,160,5,1,1,1,5,5,5,5,5,3,3,4,3,5,0,0.0,1
201,Female,Loyal Customer,33,Business travel,Eco,946,1,5,5,5,1,2,1,1,1,2,3,2,4,1,0,0.0,0
202,Male,Loyal Customer,60,Business travel,Business,1592,5,5,4,5,3,5,4,4,4,5,4,5,4,5,0,0.0,1
203,Female,Loyal Customer,44,Business travel,Business,223,1,1,2,1,2,5,5,5,5,5,5,5,5,5,0,0.0,1
204,Female,Loyal Customer,58,Business travel,Eco Plus,651,1,5,5,5,2,4,4,1,1,1,1,1,1,2,0,8.0,0
205,Male,Loyal Customer,37,Personal Travel,Eco,838,2,5,2,1,4,2,4,4,5,4,5,5,4,4,1,5.0,0
206,Female,Loyal Customer,15,Personal Travel,Eco,304,3,4,2,2,4,2,4,4,4,2,5,5,5,4,0,0.0,0
207,Male,Loyal Customer,41,Business travel,Business,173,4,4,4,4,3,2,5,4,4,4,4,1,4,1,0,0.0,1
208,Male,Loyal Customer,56,Business travel,Business,2255,4,1,4,4,2,4,4,3,3,3,3,4,3,4,0,0.0,1
209,Female,Loyal Customer,35,Personal Travel,Business,646,2,1,2,2,5,2,2,2,2,2,2,1,2,2,0,0.0,0
210,Male,Loyal Customer,53,Business travel,Eco,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,0
211,Female,disloyal Customer,27,Business travel,Business,852,0,0,0,1,2,0,2,2,4,2,4,5,5,2,32,12.0,1
212,Male,Loyal Customer,44,Business travel,Business,3302,4,4,4,4,4,5,4,4,4,5,4,3,4,4,0,0.0,1
213,Male,Loyal Customer,21,Personal Travel,Eco,397,3,1,5,2,1,5,1,1,3,3,2,1,2,1,2,0.0,0
214,Male,Loyal Customer,54,Personal Travel,Eco,370,2,0,2,3,5,2,4,5,4,5,5,3,4,5,0,7.0,0
215,Male,disloyal Customer,20,Business travel,Eco,861,4,4,4,1,2,4,3,2,5,4,5,4,5,2,0,0.0,1
216,Female,Loyal Customer,23,Personal Travel,Eco Plus,680,3,5,3,1,3,3,3,3,5,3,5,3,4,3,0,0.0,0
217,Female,Loyal Customer,12,Personal Travel,Eco,271,3,5,3,4,1,3,1,1,3,4,5,5,5,1,5,0.0,0
218,Female,disloyal Customer,25,Business travel,Business,1671,4,5,3,3,5,3,5,5,4,5,5,4,4,5,4,10.0,0
